	Country Name	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020
61	East Asia & Pacific (excluding high income)	1734540000000.0	1847320000000.0	2044200000000.0	2311610000000.0	2682210000000.0	3106710000000.0	3740560000000.0	4727620000000.0	5978670000000.0	6484360000000.0	7857940000000.0	9608210000000.0	10719100000000.0	11828300000000.0	12751200000000.0	13281200000000.0	13560200000000.0	14819300000000.0	16575000000000.0	17135400000000.0	17448900000000.0
62	Early-demographic dividend	3382440000000.0	3352800000000.0	3259890000000.0	3628140000000.0	4224830000000.0	4927040000000.0	5629130000000.0	6666490000000.0	7520370000000.0	7259980000000.0	8800250000000.0	9651880000000.0	10096200000000.0	10250900000000.0	10603400000000.0	10082400000000.0	10307800000000.0	11137600000000.0	11214800000000.0	11527300000000.0	10668200000000.0
63	East Asia & Pacific	8373290000000.0	7787150000000.0	7909720000000.0	8696410000000.0	9753660000000.0	10406200000000.0	11028200000000.0	12322000000000.0	14206700000000.0	14619500000000.0	17032300000000.0	19751900000000.0	21131800000000.0	21367600000000.0	22038400000000.0	21951400000000.0	22720700000000.0	24268500000000.0	26416300000000.0	26981500000000.0	27097400000000.0
64	Europe & Central Asia (excluding high income)	700114000000.0	695454000000.0	796769000000.0	1005020000000.0	1330990000000.0	1688050000000.0	2072080000000.0	2684050000000.0	3324690000000.0	2611900000000.0	3119370000000.0	3853330000000.0	4085330000000.0	4341020000000.0	4045790000000.0	3099130000000.0	2965860000000.0	3329880000000.0	3423990000000.0	3493930000000.0	3222400000000.0
65	Europe & Central Asia	10062600000000.0	10163000000000.0	11133500000000.0	13537500000000.0	15776900000000.0	16784500000000.0	18178400000000.0	21245700000000.0	23375300000000.0	20561100000000.0	21025800000000.0	23314100000000.0	22462300000000.0	23481200000000.0	23811800000000.0	20513300000000.0	20453700000000.0	21680100000000.0	23224000000000.0	22934000000000.0	22121600000000.0
66	Ecuador	18327764882.0	24468324000.0	28548945000.0	32432858000.0	36591661000.0	41507085000.0	46802044000.0	51007777000.0	61762635000.0	62519686000.0	69555367000.0	79276664000.0	87924544000.0	95129659000.0	101726000000.0	99290381000.0	99937696000.0	104296000000.0	107562000000.0	108108000000.0	98808010000.0
67	Egypt, Arab Rep.	99838543960.0	96684636119.0	85146067416.0	80288461538.0	78782467532.0	89600665557.0	107426000000.0	130438000000.0	162818000000.0	189147000000.0	218984000000.0	235990000000.0	279117000000.0	288434000000.0	305595000000.0	329367000000.0	332442000000.0	235734000000.0	249713000000.0	303081000000.0	365253000000.0
68	Euro area	6495500000000.0	6596320000000.0	7199930000000.0	8862290000000.0	10160400000000.0	10523500000000.0	11184000000000.0	12879100000000.0	14158300000000.0	12938500000000.0	12641300000000.0	13637400000000.0	12638200000000.0	13195400000000.0	13508900000000.0	11674400000000.0	11972600000000.0	12677500000000.0	13698900000000.0	13413600000000.0	13021000000000.0
69	Eritrea	706370815.6	752368495.5	729321366.7	870247703.2	1109054005.0	1098425901.0	1211161880.0	1317974491.0	1380188800.0	1856695551.0	1589515447.0	2065001626.0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
70	Spain	598363000000.0	627830000000.0	708757000000.0	907492000000.0	1069060000000.0	1153720000000.0	1260400000000.0	1474000000000.0	1631860000000.0	1491470000000.0	1422110000000.0	1480710000000.0	1324740000000.0	1355140000000.0	1371220000000.0	1195600000000.0	1232910000000.0	1312540000000.0	1420990000000.0	1393050000000.0	1281480000000.0
71	Estonia	5686579748.0	6254649539.0	7367975888.0	9874013098.0	12145911801.0	14106790200.0	17022870405.0	22449129483.0	24341678629.0	19633031398.0	19523477326.0	23213994093.0	23019150071.0	25115753366.0	26634083965.0	22890762090.0	24072829277.0	26924385103.0	30489500905.0	31045591753.0	30650285472.0
72	Ethiopia	8242392104.0	8231326016.0	7850809498.0	8623691300.0	10131187261.0	12401139454.0	15280861835.0	19707616773.0	27066912635.0	32437389116.0	29933790334.0	31952763089.0	43310721414.0	47648211133.0	55612228234.0	64589334979.0	74296618481.0	81770791971.0	84269348327.0	95912590628.0	107645000000.0
73	European Union	7276100000000.0	7393820000000.0	8083840000000.0	9931880000000.0	11419000000000.0	11910800000000.0	12713900000000.0	14728800000000.0	16297600000000.0	14763800000000.0	14557600000000.0	15759500000000.0	14636200000000.0	15299700000000.0	15652100000000.0	13551900000000.0	13893300000000.0	14766000000000.0	15978200000000.0	15689400000000.0	15291900000000.0
74	Fragile and conflict affected situations	501197000000.0	493643000000.0	480158000000.0	497905000000.0	626603000000.0	785464000000.0	968117000000.0	1181890000000.0	1508650000000.0	1439290000000.0	1689110000000.0	1539480000000.0	1738130000000.0	1806530000000.0	1958700000000.0	1560340000000.0	1407790000000.0	1440150000000.0	1572830000000.0	1661770000000.0	1508640000000.0
75	Finland	126020000000.0	129533000000.0	140404000000.0	171652000000.0	197479000000.0	204885000000.0	217089000000.0	256378000000.0	285716000000.0	253498000000.0	249424000000.0	275604000000.0	258290000000.0	271362000000.0	274863000000.0	234534000000.0	240771000000.0	255648000000.0	275715000000.0	268508000000.0	269595000000.0
76	Fiji	1678239218.0	1652464201.0	1833279985.0	2300453634.0	2708078477.0	2980484920.0	3076305453.0	3378314600.0	3523185920.0	2870624636.0	3140508836.0	3774530616.0	3972012571.0	4190143206.0	4856963230.0	4682546863.0	4930204230.0	5353404422.0	5581371848.0	5496264766.0	4533883782.0
77	France	1365640000000.0	1377660000000.0	1501410000000.0	1844540000000.0	2119630000000.0	2196950000000.0	2320540000000.0	2660590000000.0	2930300000000.0	2700890000000.0	2645190000000.0	2865160000000.0	2683670000000.0	2811880000000.0	2855960000000.0	2439190000000.0	2472960000000.0	2595150000000.0	2790960000000.0	2728870000000.0	2630320000000.0
78	Faroe Islands	1058702725.0	1147654635.0	1262669892.0	1494011567.0	1688237552.0	1727792693.0	1984445416.0	2290133549.0	2432415998.0	2268387771.0	2320424601.0	2490807831.0	2366301252.0	2627049837.0	2850743875.0	2518096286.0	2738832687.0	2899226098.0	3051341336.0	3126293220.0	NULL
79	Micronesia, Fed. Sts.	233271800.0	240970900.0	242517200.0	245432900.0	240236000.0	250281900.0	253541900.0	256787200.0	263145100.0	280284600.0	296944100.0	311301600.0	327248700.0	317214400.0	319271200.0	316489900.0	332265200.0	366666800.0	401932300.0	408057100.0	410083600.0
80	Gabon	5080483464.0	5023265365.0	5335451308.0	6511903657.0	7770219480.0	9582783318.0	10327598801.0	12455410056.0	15571349776.0	12113699661.0	14372591916.0	18210308748.0	17170465294.0	17595745653.0	18203968002.0	14383107714.0	14023890620.0	14929488771.0	16867325127.0	16874405840.0	15316826192.0
81	United Kingdom	1662130000000.0	1643910000000.0	1784080000000.0	2057090000000.0	2421810000000.0	2544830000000.0	2717060000000.0	3106180000000.0	2938880000000.0	2425800000000.0	2491110000000.0	2674890000000.0	2719160000000.0	2803290000000.0	3087170000000.0	2956570000000.0	2722850000000.0	2699020000000.0	2900790000000.0	2878670000000.0	2759800000000.0
82	Georgia	3057475289.0	3219488664.0	3395728014.0	3991284895.0	5125365192.0	6410823633.0	7745394293.0	10172882371.0	12795076469.0	10766836277.0	12243505583.0	15107441447.0	16488403076.0	17189551521.0	17627003455.0	14953950557.0	15141758567.0	16242916916.0	17599700091.0	17477255562.0	15846489611.0
83	Ghana	4983024408.0	5314909954.0	6166330136.0	7632406553.0	8881368538.0	10744675210.0	20440893017.0	24827844950.0	28678701891.0	26048108185.0	32197272797.0	39337314810.0	41270954737.0	62823043706.0	54782847753.0	49406568433.0	56165172899.0	60406382899.0	67299280680.0	68337537816.0	68532281806.0
84	Gibraltar	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
